Location,Pin Code
A C jobner,303329 
A.G.office,302005 
Ashoknagar,302001 
Achalpura,303908 
Achrol,303002 
Airport Sanganer,302011 
Ajairajpura,303007 
Ajmer Road,302006 
Akhepura,302013 
Akoda,303338 
Akodiya,303901 
Alisar,303801 
Amarpura,303804 
Amarsar,303601 
Amba Bari,302023 
Amer,302028 
Amer Clark hotel,302018 
Amer Road,302002 
Amloda,303120 
Anantpura,303712 
Andhi,303001 
Antela,303119 
Arjun Lal sethi nagar,302004 
Arp Dhelana,303908 
Asalpur,303331 
Astikalan,303602 
Awania,303007 
Badapadampura,303903 
Badhal,303602 
Badi Jori,303103 
Badodia,303103 
Badwa,303305 
Bagawas,303603 
Bagawas Ahiran,303119 
Bagawas Choriyasi,303119 
Bagru,303007 
Bagwara,303805 
Bajaj Nagar,302015 
Bajrangpura,303119 
Banar,303105 
Bandha Jamwaramgarh,303109 
Banethi,303105 
Bani Park,302016 
Bansa,303806 
Bapu Nagar,302015 
Barkat Nagar,302015 
Barnagar,303106 
Barodiya,303908 
Bas Badwa,303302 
Baseri Khurd,303603 
Basna,302028 
Bassi,303301 
Bassi Naga,303706 
Beelwa,303903 
Beelwadi,303102 
Begas,303007 
Behlod,303120 
Benada,303301 
Beri,303105 
Bhabroo,303119 
Bhadwa,303328 
Bhainsawa,303603 
Bhainslana,303107 
Bhaislana,303328 
Bhalloji,303110 
Bhambhoria,302026 
Bhamod,303003 
Bhamori,303706 
Bhankari,303110 
Bhankrota,302026 
Bhanpur Kalan,302028 
Bhato Ki gali,303701 
Bhawani,303001 
Bhojpura,303328 
Bhonawas,303106 
Bhopawa,303807 
Bhura Tiba,302001 
Bhuri Baraja,303107 
Bhurthal,303704 
Bhutera,303712 
Bichi,303006 
Bichoon,303010 
Bidara,303103 
Bilanderpur,303803 
Bilochi,303805 
Bilod,302028 
Bindayaka,302012 
Birsana,303001 
Bishangarh,303104 
Bobadi,303120 
Bobas,303338 
Booj,303109 
Boraj,303338 
Buchara,303106 
Burthal,303012 
C.P.m.g,302001 
Chainpura,303348 
Chaksu,303901 
Chakwada,303005 
Chandamakalan,303006 
Chandlai,303903 
Chandpole Bazar,302001 
Chandwaji,303104 
Chanwandia,303301 
Charanwas,303804 
Chatarpura,303701 
Chaturbhuj,303108 
Cheethwari,303805 
Chetawala,303704 
Chhandel Kalan,303901 
Chhapra Kalan (shahpura),303103 
Chhapra Khurd,303103 
Chhardera,303105 
Chharsa,303120 
Chhitoli,303102 
Chimanpura,303105 
Chinoi,303801 
Chitanu Kalan,303104 
Chittora,303904 
Chittora Renwal,303904 
Chomu,303702 
Chonp,303805 
Choru,303005 
Collectorate,302016 
Crpf Campus  lalwas,302027 
Dabach,303006 
Dabla Kalan,303904 
Dadiya,303905 
Danau Kalan,303302 
Dangaarwara,303001 
Dantala Meena,303120 
Dantil,303107 
Dantli,303012 
Dantri,303008 
Daulatpura,303805 
Dehar Ka balaji,302023 
Dehmi Kalan,303007 
